Year,Player,Player_ID,College,Pick,Round,Team,Career_AV,Games_Played,Note,Career_Yards,Career_TDs,Pro_Bowls,All_Pros,OPOY,Receptions,Receiving_Yards,Receiving_TDs,Rec/Game,Yards/Game,TD/Game,Successful,scaled_rec_pg,scaled_yds_pg,scaled_td_pg,scaled_av,scaled_pb,scaled_ap,Performance_Score
2013,Tavon Austin,AustTa00,West Virginia,8,,STL,29.0,113.0,Parsed,,,0.0,0.0,False,244.0,2239.0,16.0,2.16,19.81,0.14,False,0.21600000000000003,0.1981,0.14,0.24166666666666667,0.0,0.0,16.688
2013,DeAndre Hopkins,HopkDe00,Clemson,27,,HOU,106.0,178.0,Parsed,,,5.0,3.0,False,984.0,12965.0,83.0,5.53,72.84,0.47,True,0.553,0.7284,0.47,0.8833333333333333,1.0,1.0,70.562
2013,Cordarrelle Patterson,PattCo00,Tennessee,29,,MIN,,,Parsed,,,4.0,4.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.8,1.3333333333333333,14.666666666666666
2013,Justin Hunter,HuntJu00,Tennessee,34,,TEN,10.0,60.0,Parsed,,,0.0,0.0,False,85.0,1349.0,13.0,1.42,22.48,0.22,False,0.142,0.2248,0.22,0.08333333333333333,0.0,0.0,15.234
2013,Robert Woods,WoodRo02,USC,41,,BUF,74.0,171.0,Parsed,,,0.0,0.0,False,683.0,8233.0,38.0,3.99,48.15,0.22,True,0.399,0.4815,0.22,0.6166666666666667,0.0,0.0,36.075
2013,Aaron Dobson,DobsAa00,Marshall,59,,NWE,6.0,24.0,Parsed,,,0.0,0.0,False,53.0,698.0,4.0,2.21,29.08,0.17,False,0.221,0.2908,0.17,0.05,0.0,0.0,17.294
2013,Terrance Williams,WillTe01,Baylor,74,,DAL,30.0,83.0,Parsed,,,0.0,0.0,False,232.0,3377.0,20.0,2.8,40.69,0.24,False,0.27999999999999997,0.4069,0.24,0.25,0.0,0.0,26.356999999999996
2013,Keenan Allen,AlleKe00,California,76,,SDG,97.0,154.0,Parsed,,,6.0,0.0,False,974.0,11274.0,66.0,6.32,73.21,0.43,True,0.632,0.7321,0.43,0.8083333333333333,1.2,0.0,67.328
2013,Marquise Goodwin,GoodMa00,Texas,78,,BUF,27.0,114.0,Parsed,,,0.0,0.0,False,191.0,3090.0,18.0,1.68,27.11,0.16,False,0.16799999999999998,0.2711,0.16,0.225,0.0,0.0,18.068
2013,Markus Wheaton,WheaMa00,Oregon St.,79,,PIT,13.0,59.0,Parsed,,,0.0,0.0,False,110.0,1559.0,8.0,1.86,26.42,0.14,False,0.186,0.2642,0.14,0.10833333333333334,0.0,0.0,16.071
2013,Stedman Bailey,BailSt01,West Virginia,92,,STL,7.0,38.0,Parsed,,,0.0,0.0,False,59.0,843.0,2.0,1.55,22.18,0.05,False,0.155,0.2218,0.05,0.058333333333333334,0.0,0.0,11.629
2013,Ace Sanders,SandAc00,South Carolina,101,,JAX,3.0,27.0,Parsed,,,0.0,0.0,False,57.0,539.0,1.0,2.11,19.96,0.04,False,0.211,0.1996,0.04,0.025,0.0,0.0,11.383000000000001
2013,Josh Boyce,BoycJo00,TCU,102,,NWE,1.0,10.0,Parsed,,,0.0,0.0,False,9.0,121.0,0.0,0.9,12.1,0.0,False,0.09,0.121,0.0,0.008333333333333333,0.0,0.0,5.555000000000001
2013,Chris Harper,HarpCh00,Kansas St.,123,,SEA,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Quinton Patton,PattQu00,Louisiana Tech,128,,SFO,6.0,40.0,Parsed,,,0.0,0.0,False,73.0,880.0,1.0,1.82,22.0,0.03,False,0.182,0.22,0.03,0.05,0.0,0.0,11.59
2013,Denard Robinson,RobiDe00,Michigan,135,,JAX,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Kenny Stills,StilKe00,Oklahoma,144,,NOR,40.0,130.0,Parsed,,,0.0,0.0,False,316.0,4911.0,38.0,2.43,37.78,0.29,True,0.24300000000000002,0.3778,0.29,0.3333333333333333,0.0,0.0,26.994
2013,Tavarres King,KingTa00,Georgia,161,,DEN,2.0,17.0,Parsed,,,0.0,0.0,False,22.0,303.0,3.0,1.29,17.82,0.18,False,0.129,0.1782,0.18,0.016666666666666666,0.0,0.0,11.776
2013,Corey Fuller,FullCo00,Virginia Tech,171,,DET,3.0,28.0,Parsed,,,0.0,0.0,False,18.0,288.0,1.0,0.64,10.29,0.04,False,0.064,0.10289999999999999,0.04,0.025,0.0,0.0,5.542
2013,Ryan Swope,SwopRy00,Texas A&M,174,,ARI,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Justin Brown,BrowJu00,Oklahoma,186,,PIT,1.0,8.0,Parsed,,,0.0,0.0,False,12.0,94.0,0.0,1.5,11.75,0.0,False,0.15,0.1175,0.0,0.008333333333333333,0.0,0.0,6.65
2013,Alan Bonner,BonnAl00,Jacksonville St.,195,,HOU,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Cobi Hamilton,HamiCo00,Arkansas,197,,CIN,2.0,14.0,Parsed,,,0.0,0.0,False,18.0,242.0,2.0,1.29,17.29,0.14,False,0.129,0.1729,0.14,0.016666666666666666,0.0,0.0,10.817000000000002
2013,Brice Butler,ButlBr00,San Diego St.,209,,OAK,10.0,69.0,Parsed,,,0.0,0.0,False,79.0,1237.0,9.0,1.14,17.93,0.13,False,0.11399999999999999,0.1793,0.13,0.08333333333333333,0.0,0.0,11.508999999999999
2013,Charles Johnson,JohnCh08,Grand Valley St.,216,,GNB,7.0,39.0,Parsed,,,0.0,0.0,False,60.0,834.0,2.0,1.54,21.38,0.05,False,0.154,0.2138,0.05,0.058333333333333334,0.0,0.0,11.369
2013,Kevin Dorsey,DorsKe01,Maryland,224,,GNB,0.0,3.0,Parsed,,,0.0,0.0,False,1.0,4.0,0.0,0.33,1.33,0.0,False,0.033,0.013300000000000001,0.0,0.0,0.0,0.0,1.0590000000000002
2013,Marquess Wilson,WilsMa02,Washington St.,236,,CHI,6.0,31.0,Parsed,,,0.0,0.0,False,56.0,777.0,3.0,1.81,25.06,0.1,False,0.181,0.2506,0.1,0.05,0.0,0.0,13.888
2013,Aaron Mellette,MellAa00,Elon,238,,BAL,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Sammy Watkins,WatkSa00,Clemson,4,,BUF,51.0,111.0,Parsed,,,0.0,0.0,False,364.0,5384.0,34.0,3.28,48.5,0.31,True,0.32799999999999996,0.485,0.31,0.425,0.0,0.0,33.684999999999995
2014,Mike Evans,EvanMi00,Texas A&M,7,,TAM,102.0,168.0,Parsed,,,6.0,0.0,False,836.0,12684.0,105.0,4.98,75.5,0.62,True,0.49800000000000005,0.755,0.62,0.85,1.2,0.0,69.76
2014,Odell Beckham Jr.,BeckOd00,LSU,12,,NYG,69.0,119.0,Parsed,,,3.0,0.0,False,575.0,7987.0,59.0,4.83,67.12,0.5,True,0.483,0.6712,0.5,0.575,0.6,0.0,54.421
2014,Brandin Cooks,CookBr00,Oregon St.,20,,NOR,88.0,158.0,Parsed,,,0.0,0.0,False,710.0,9532.0,60.0,4.49,60.33,0.38,True,0.449,0.6033,0.38,0.7333333333333333,0.0,0.0,45.678999999999995
2014,Kelvin Benjamin,BenjKe00,Florida St.,28,,CAR,23.0,61.0,Parsed,,,0.0,0.0,False,209.0,3021.0,20.0,3.43,49.52,0.33,False,0.343,0.49520000000000003,0.33,0.19166666666666668,0.0,0.0,31.191000000000003
2014,Marqise Lee,LeexMa00,USC,39,,JAX,18.0,59.0,Parsed,,,0.0,0.0,False,174.0,2184.0,8.0,2.95,37.02,0.14,False,0.29500000000000004,0.37020000000000003,0.14,0.15,0.0,0.0,22.056
2014,Jordan Matthews,MattJo00,Vanderbilt,42,,PHI,25.0,81.0,Parsed,,,0.0,0.0,False,274.0,3288.0,22.0,3.38,40.59,0.27,False,0.33799999999999997,0.40590000000000004,0.27,0.20833333333333334,0.0,0.0,27.461999999999996
2014,Paul Richardson,RichPa01,Colorado,45,,SEA,15.0,64.0,Parsed,,,0.0,0.0,False,143.0,1809.0,12.0,2.23,28.27,0.19,False,0.223,0.2827,0.19,0.125,0.0,0.0,18.616
2014,Davante Adams,AdamDa01,Fresno St.,53,,GNB,111.0,164.0,Parsed,,,6.0,3.0,False,957.0,11844.0,103.0,5.84,72.22,0.63,True,0.584,0.7222,0.63,0.925,1.2,1.0,76.82100000000001
2014,Cody Latimer,LatiCo00,Indiana,56,,DEN,6.0,66.0,Parsed,,,0.0,0.0,False,70.0,935.0,6.0,1.06,14.17,0.09,False,0.10600000000000001,0.1417,0.09,0.05,0.0,0.0,8.921000000000001
2014,Allen Robinson,RobiAl02,Penn St.,61,,JAX,55.0,139.0,Parsed,,,1.0,0.0,False,565.0,7058.0,43.0,4.06,50.78,0.31,True,0.40599999999999997,0.5078,0.31,0.4583333333333333,0.2,0.0,38.429
2014,Jarvis Landry,LandJa00,LSU,63,,MIA,67.0,132.0,Parsed,,,5.0,0.0,False,713.0,7870.0,38.0,5.4,59.62,0.29,True,0.54,0.5962,0.29,0.5583333333333333,1.0,0.0,52.861000000000004
2014,Josh Huff,HuffJo00,Oregon,86,,PHI,6.0,37.0,Parsed,,,0.0,0.0,False,51.0,523.0,4.0,1.38,14.14,0.11,False,0.13799999999999998,0.1414,0.11,0.05,0.0,0.0,9.952
2014,Donte Moncrief,MoncDo00,Mississippi,90,,IND,20.0,83.0,Parsed,,,0.0,0.0,False,205.0,2576.0,21.0,2.47,31.04,0.25,False,0.24700000000000003,0.3104,0.25,0.16666666666666666,0.0,0.0,21.752000000000002
2014,John Brown,BrowJo02,Pittsburg St.,91,,ARI,40.0,103.0,Parsed,,,0.0,0.0,False,321.0,4790.0,32.0,3.12,46.5,0.31,True,0.312,0.465,0.31,0.3333333333333333,0.0,0.0,31.39
2014,Dri Archer,ArchDr00,Kent St.,97,,PIT,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Jalen Saunders,SaunJa00,Oklahoma,104,,NYJ,,15.0,Parsed,,,0.0,0.0,False,1.0,7.0,0.0,0.07,0.47,0.0,False,0.007000000000000001,0.004699999999999999,0.0,0.0,0.0,0.0,0.281
2014,Bruce Ellington,ElliBr00,South Carolina,106,,SFO,7.0,44.0,Parsed,,,0.0,0.0,False,79.0,769.0,5.0,1.8,17.48,0.11,False,0.18,0.1748,0.11,0.058333333333333334,0.0,0.0,11.918999999999999
2014,Shaquelle Evans,EvanSh00,UCLA,115,,NYJ,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Martavis Bryant,BryaMa00,Clemson,118,,PIT,20.0,44.0,Parsed,,,0.0,0.0,False,145.0,2183.0,17.0,3.3,49.61,0.39,False,0.32999999999999996,0.4961,0.39,0.16666666666666666,0.0,0.0,31.783
2014,Kevin Norwood,NorwKe00,Alabama,123,,SEA,1.0,10.0,Parsed,,,0.0,0.0,False,9.0,102.0,0.0,0.9,10.2,0.0,False,0.09,0.102,0.0,0.008333333333333333,0.0,0.0,4.984999999999999
2014,Ryan Grant,GranRy01,Tulane,142,,WAS,10.0,80.0,Parsed,,,0.0,0.0,False,123.0,1333.0,7.0,1.54,16.66,0.09,False,0.154,0.1666,0.09,0.08333333333333333,0.0,0.0,11.127999999999998
2014,Devin Street,StreDe00,Pittsburgh,146,,DAL,1.0,36.0,Parsed,,,0.0,0.0,False,10.0,152.0,1.0,0.28,4.22,0.03,False,0.028000000000000004,0.042199999999999994,0.03,0.008333333333333333,0.0,0.0,2.5509999999999997
2014,Jared Abbrederis,AbbrJa00,Wisconsin,176,,GNB,1.0,22.0,Parsed,,,0.0,0.0,False,13.0,163.0,0.0,0.59,7.41,0.0,False,0.059,0.0741,0.0,0.008333333333333333,0.0,0.0,3.528
2014,Robert Herron,HerrRo00,Wyoming,185,,TAM,0.0,8.0,Parsed,,,0.0,0.0,False,6.0,58.0,1.0,0.75,7.25,0.12,False,0.075,0.0725,0.12,0.0,0.0,0.0,6.075
2014,T.J. Jones,JoneT.00,Notre Dame,189,,DET,7.0,45.0,Parsed,,,0.0,0.0,False,67.0,852.0,5.0,1.49,18.93,0.11,False,0.149,0.1893,0.11,0.058333333333333334,0.0,0.0,11.734
2014,Matt Hazel,HazeMa01,Coastal Carolina,190,,MIA,0.0,9.0,Parsed,,,0.0,0.0,False,1.0,1.0,0.0,0.11,0.11,0.0,False,0.011,0.0011,0.0,0.0,0.0,0.0,0.253
2014,Walt Powell,PoweWa00,Murray St.,196,,ARI,1.0,15.0,Parsed,,,0.0,0.0,False,14.0,142.0,0.0,0.93,9.47,0.0,False,0.093,0.0947,0.0,0.008333333333333333,0.0,0.0,4.8260000000000005
2014,Quincy Enunwa,EnunQu00,Nebraska,209,,NYJ,13.0,41.0,Parsed,,,0.0,0.0,False,119.0,1617.0,5.0,2.9,39.44,0.12,False,0.29,0.3944,0.12,0.10833333333333334,0.0,0.0,21.657
2014,Michael Campanaro,CampMi02,Wake Forest,218,,BAL,4.0,24.0,Parsed,,,0.0,0.0,False,31.0,310.0,2.0,1.29,12.92,0.08,False,0.129,0.1292,0.08,0.03333333333333333,0.0,0.0,8.556000000000001
2014,Jeff Janis,JaniJe00,Saginaw Valley St.,236,,GNB,2.0,51.0,Parsed,,,0.0,0.0,False,17.0,200.0,1.0,0.33,3.92,0.02,False,0.033,0.0392,0.02,0.016666666666666666,0.0,0.0,2.486
2014,James Wright,WrigJa03,LSU,239,,CIN,2.0,24.0,Parsed,,,0.0,0.0,False,18.0,197.0,0.0,0.75,8.21,0.0,False,0.075,0.0821,0.0,0.016666666666666666,0.0,0.0,4.213
2014,Tevin Reese,ReesTe00,Baylor,240,,SDG,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Jeremy Gallon,GallJe00,Michigan,244,,NWE,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Amari Cooper,CoopAm00,Alabama,4,,OAK,83.0,154.0,Parsed,,,5.0,0.0,False,711.0,10033.0,64.0,4.62,65.15,0.42,True,0.462,0.6515000000000001,0.42,0.6916666666666667,1.0,0.0,57.56000000000001
2015,Kevin White,WhitKe00,West Virginia,7,,CHI,3.0,30.0,Parsed,,,0.0,0.0,False,28.0,397.0,0.0,0.93,13.23,0.0,False,0.093,0.1323,0.0,0.025,0.0,0.0,6.204
2015,DeVante Parker,ParkDe01,Louisville,14,,MIA,42.0,119.0,Parsed,,,0.0,0.0,False,402.0,5660.0,27.0,3.38,47.56,0.23,True,0.33799999999999997,0.4756,0.23,0.35,0.0,0.0,30.878
2015,Nelson Agholor,AghoNe00,USC,20,,PHI,43.0,149.0,Parsed,,,0.0,0.0,False,389.0,4858.0,37.0,2.61,32.6,0.25,True,0.261,0.326,0.25,0.35833333333333334,0.0,0.0,25.375000000000004
2015,Breshad Perriman,PerrBr02,Central Florida,26,,BAL,17.0,80.0,Parsed,,,0.0,0.0,False,145.0,2343.0,16.0,1.81,29.29,0.2,False,0.181,0.2929,0.2,0.14166666666666666,0.0,0.0,18.532
2015,Phillip Dorsett,DorsPh00,Miami (FL),29,,IND,18.0,94.0,Parsed,,,0.0,0.0,False,151.0,2001.0,12.0,1.61,21.29,0.13,False,0.161,0.21289999999999998,0.13,0.15,0.0,0.0,14.456999999999997
2015,Devin Smith,SmitDe04,Ohio St.,37,,NYJ,2.0,22.0,Parsed,,,0.0,0.0,False,15.0,248.0,2.0,0.68,11.27,0.09,False,0.068,0.1127,0.09,0.016666666666666666,0.0,0.0,6.7909999999999995
2015,Dorial Green-Beckham,GreeDo00,Oklahoma,40,,TEN,7.0,31.0,Parsed,,,0.0,0.0,False,68.0,941.0,6.0,2.19,30.35,0.19,False,0.219,0.3035,0.19,0.058333333333333334,0.0,0.0,18.16
2015,Tyler Lockett,LockTy00,Kansas St.,69,,SEA,83.0,161.0,Parsed,,,1.0,1.0,False,661.0,8594.0,61.0,4.11,53.38,0.38,True,0.41100000000000003,0.5338,0.38,0.6916666666666667,0.2,0.3333333333333333,45.87566666666667
2015,Jaelen Strong,StroJa01,Arizona St.,70,,HOU,2.0,20.0,Parsed,,,0.0,0.0,False,31.0,330.0,4.0,1.55,16.5,0.2,False,0.155,0.165,0.2,0.016666666666666666,0.0,0.0,12.3
2015,Chris Conley,ConlCh00,Georgia,76,,KAN,26.0,132.0,Parsed,,,0.0,0.0,False,226.0,2998.0,15.0,1.71,22.71,0.11,False,0.17099999999999999,0.2271,0.11,0.21666666666666667,0.0,0.0,15.683000000000003
2015,Sammie Coates,CoatSa00,Auburn,87,,PIT,4.0,44.0,Parsed,,,0.0,0.0,False,29.0,528.0,2.0,0.66,12.0,0.05,False,0.066,0.12,0.05,0.03333333333333333,0.0,0.0,6.420000000000001
2015,Ty Montgomery,MontTy01,Stanford,94,,GNB,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Jamison Crowder,CrowJa00,Duke,105,,WAS,38.0,123.0,Parsed,,,0.0,0.0,False,440.0,4898.0,31.0,3.58,39.82,0.25,False,0.358,0.3982,0.25,0.31666666666666665,0.0,0.0,28.855999999999998
2015,Justin Hardy,HardJu00,East Carolina,107,,ATL,9.0,73.0,Parsed,,,0.0,0.0,False,95.0,946.0,9.0,1.3,12.96,0.12,False,0.13,0.12960000000000002,0.12,0.075,0.0,0.0,10.013000000000002
2015,Vince Mayle,MaylVi00,Washington St.,123,,CLE,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,DeAndre Smelter,SmelDe00,Georgia Tech,132,,SFO,0.0,2.0,Parsed,,,0.0,0.0,False,1.0,23.0,0.0,0.5,11.5,0.0,False,0.05,0.115,0.0,0.0,0.0,0.0,4.45
2015,Rashad Greene,GreeRa00,Florida St.,139,,JAX,2.0,25.0,Parsed,,,0.0,0.0,False,30.0,185.0,2.0,1.2,7.4,0.08,False,0.12,0.07400000000000001,0.08,0.016666666666666666,0.0,0.0,6.470000000000001
2015,Stefon Diggs,DiggSt00,Maryland,146,,MIN,103.0,144.0,Parsed,,,4.0,1.0,False,857.0,10491.0,70.0,5.95,72.85,0.49,True,0.595,0.7284999999999999,0.49,0.8583333333333333,0.8,0.3333333333333333,66.09666666666668
2015,Tony Lippett,LippTo00,Michigan St.,156,,MIA,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,JJ Nelson,NelsJJ00,Ala-Birmingham,159,,ARI,12.0,58.0,Parsed,,,0.0,0.0,False,85.0,1475.0,11.0,1.47,25.43,0.19,False,0.147,0.25429999999999997,0.19,0.1,0.0,0.0,15.869
2015,Kenny Bell,BellKe02,Nebraska,162,,TAM,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Keith Mumphery,MumpKe00,Michigan St.,175,,HOU,2.0,27.0,Parsed,,,0.0,0.0,False,24.0,198.0,0.0,0.89,7.33,0.0,False,0.089,0.0733,0.0,0.016666666666666666,0.0,0.0,4.229
2015,Kaelin Clay,ClayKa00,Utah,184,,TAM,,13.0,Parsed,,,0.0,0.0,False,6.0,85.0,0.0,0.46,6.54,0.0,False,0.046,0.0654,0.0,0.0,0.0,0.0,2.8819999999999997
2015,Geremy Davis,DaviGe00,Connecticut,186,,NYG,0.0,36.0,Parsed,,,0.0,0.0,False,5.0,59.0,0.0,0.14,1.64,0.0,False,0.014000000000000002,0.016399999999999998,0.0,0.0,0.0,0.0,0.7719999999999999
2015,Evan Spencer,SpenEv00,Ohio St.,187,,WAS,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Bud Sasser,SassBu00,Missouri,201,,STL,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Darren Waller,WallDa01,Georgia Tech,204,,BAL,34.0,86.0,Parsed,,,1.0,0.0,False,350.0,4124.0,20.0,4.07,47.95,0.23,False,0.40700000000000003,0.47950000000000004,0.23,0.2833333333333333,0.2,0.0,33.375
2015,Neal Sterling,SterNe00,Monmouth,220,,JAX,2.0,35.0,Parsed,,,0.0,0.0,False,24.0,239.0,0.0,0.69,6.83,0.0,False,0.06899999999999999,0.0683,0.0,0.016666666666666666,0.0,0.0,3.6790000000000003
2015,Andre Debose,DeboAn00,Florida,221,,OAK,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Da'Ron Brown,BrowDa03,Northern Illinois,233,,KAN,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Dezmin Lewis,LewiDe02,Central Arkansas,234,,BUF,0.0,2.0,Parsed,,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Mario Alford,AlfoMa00,West Virginia,238,,CIN,,1.0,Parsed,,,0.0,0.0,False,1.0,15.0,0.0,1.0,15.0,0.0,False,0.1,0.15,0.0,0.0,0.0,0.0,6.5
2015,Tre McBride,McBrTr00,William & Mary,245,,TEN,1.0,17.0,Parsed,,,0.0,0.0,False,10.0,152.0,1.0,0.59,8.94,0.06,False,0.059,0.0894,0.06,0.008333333333333333,0.0,0.0,5.187
2016,Corey Coleman,ColeCo00,Baylor,15,,CLE,6.0,27.0,Parsed,,,0.0,0.0,False,61.0,789.0,5.0,2.26,29.22,0.19,False,0.22599999999999998,0.2922,0.19,0.05,0.0,0.0,17.836000000000002
2016,Will Fuller,FullWi01,Notre Dame,21,,HOU,26.0,55.0,Parsed,,,0.0,0.0,False,213.0,3136.0,24.0,3.87,57.02,0.44,True,0.387,0.5702,0.44,0.21666666666666667,0.0,0.0,36.89600000000001
2016,Josh Doctson,DoctJo00,TCU,22,,WAS,9.0,34.0,Parsed,,,0.0,0.0,False,81.0,1100.0,8.0,2.38,32.35,0.24,False,0.238,0.3235,0.24,0.075,0.0,0.0,20.39
2016,Laquon Treadwell,TreaLa00,Mississippi,23,,MIN,9.0,83.0,Parsed,,,0.0,0.0,False,111.0,1242.0,5.0,1.34,14.96,0.06,False,0.134,0.1496,0.06,0.075,0.0,0.0,9.493
2016,Sterling Shepard,ShepSt00,Oklahoma,40,,NYG,34.0,104.0,Parsed,,,0.0,0.0,False,404.0,4429.0,24.0,3.88,42.59,0.23,False,0.388,0.42590000000000006,0.23,0.2833333333333333,0.0,0.0,29.387
2016,Michael Thomas,ThomMi05,Ohio St.,47,,NOR,66.0,83.0,Parsed,,,3.0,2.0,False,565.0,6569.0,36.0,6.81,79.14,0.43,True,0.6809999999999999,0.7914,0.43,0.55,0.6,0.6666666666666666,63.54533333333333
2016,Tyler Boyd,BoydTy00,Pittsburgh,55,,CIN,56.0,136.0,Parsed,,,0.0,0.0,False,552.0,6390.0,31.0,4.06,46.99,0.23,True,0.40599999999999997,0.46990000000000004,0.23,0.4666666666666667,0.0,0.0,33.817
2016,Braxton Miller,MillBr03,Ohio St.,85,,HOU,2.0,21.0,Parsed,,,0.0,0.0,False,34.0,261.0,2.0,1.62,12.43,0.1,False,0.162,0.1243,0.1,0.016666666666666666,0.0,0.0,9.219000000000001
2016,Leonte Carroo,CarrLe00,Rutgers,86,,MIA,2.0,37.0,Parsed,,,0.0,0.0,False,12.0,192.0,2.0,0.32,5.19,0.05,False,0.032,0.0519,0.05,0.016666666666666666,0.0,0.0,3.447
2016,Chris Moore,MoorCh00,Cincinnati,107,,BAL,14.0,111.0,Parsed,,,0.0,0.0,False,138.0,1710.0,8.0,1.24,15.41,0.07,False,0.124,0.15410000000000001,0.07,0.11666666666666667,0.0,0.0,10.253
